date,population,admission,release,los_1_day,los_2-3_days,los_4-7_days,los_8-14_days,los_15-30_days,los_31-60_days,los_61-90_days,los_91-182_days,los_183-365_days,los_365+_days
2020-03-01,123321.00959419795,2495.363893931501,2075.566062841572,572,408,123,177,110,31,0,0,0,0
2020-03-02,123490.63526411571,2245.19173275934,4167.864746140255,648,894,489,318,269,108,0,0,0,0
2020-03-03,122680.79523756779,3358.0247195923266,3860.7141931482392,725,286,402,269,279,115,0,0,0,0
2020-03-04,122246.7411921229,3426.6601477033646,3083.020153311168,841,315,341,271,235,101,6,0,0,0
2020-03-05,122219.25436316675,3055.533324355011,3981.16329056607,815,711,338,358,372,168,3,0,0,0
2020-03-06,121950.27998646423,3712.1889138635415,3663.3775062523446,1038,633,279,292,294,139,9,0,0,0
2020-03-07,122174.81623067673,3887.913750464849,1631.2760752759134,625,219,128,120,94,30,1,0,0,0
2020-03-08,122868.18735143244,2324.6471960316276,1937.079934722918,623,436,134,172,147,47,3,0,0,0
2020-03-09,123035.35800175805,2104.250585048525,4115.086679702077,708,959,602,286,323,162,16,0,0,0
2020-03-10,122415.47806473996,3495.2067426839926,3668.5837513803986,921,357,619,260,368,165,19,0,0,0
2020-03-11,122181.1603051278,3434.2659917682417,4019.7142932523197,991,456,498,418,392,183,18,0,0,0
2020-03-12,121554.79041086869,3393.3443989932007,3508.385721823748,852,512,344,363,329,212,21,0,0,0
2020-03-13,121337.83612507518,3291.431436030238,3682.2990113454716,916,590,362,370,360,189,22,0,0,0
2020-03-14,120895.85520750203,3240.3180937723173,1692.7165937630539,614,219,109,125,119,47,6,0,0,0
2020-03-15,121842.26623132081,2132.127617581841,1977.7304787614978,571,310,133,180,145,52,8,0,0,0
2020-03-16,121761.14641079331,1896.6106582339994,4798.440623689034,672,996,749,520,516,236,33,0,0,0
2020-03-17,119206.01390910639,2243.3081220021154,4363.605841080338,692,395,734,590,452,318,57,0,0,0
2020-03-18,116857.51619002817,2015.1081220021154,3878.7483799140537,615,365,501,450,556,249,45,0,0,0
2020-03-19,114785.61097158656,1806.8431614724489,3789.200760866435,562,372,357,512,573,311,57,0,0,0
2020-03-20,112588.87241981163,1592.4622090914966,3433.5189426846164,546,310,285,491,534,235,40,0,0,0
2020-03-21,110621.46720137002,1466.1137242430116,1191.8578315735053,337,108,75,115,126,62,12,0,0,0
2020-03-22,110510.37915464559,1080.7697848490723,1175.101681840885,273,107,47,118,133,76,22,0,0,0
2020-03-23,110216.76009187837,881.4826190736711,3234.2083309357727,386,446,336,400,415,298,50,0,0,0
2020-03-24,108226.89671092934,1244.3449499867406,3120.1564369963785,405,147,245,346,501,354,57,0,0,0
2020-03-25,106436.61379534828,1329.873521415312,2671.3111989011404,430,142,200,283,414,303,60,0,0,0
2020-03-26,104883.96183214817,1118.6592357010263,2392.519135409077,346,167,147,235,401,254,47,0,0,0
2020-03-27,103696.05907529725,1204.6163785581691,2300.9774687424106,391,166,108,191,346,236,47,0,0,0
2020-03-28,102537.23965177967,1142.1580452248359,851.7764586414004,245,69,32,40,88,40,13,0,0,0
